query,intent,perturbation_type,base_id
how student faculty Teknik mengakses SIA UMB?,sia,mixed_lang,bench_00461
Bagaimana mahasiswa mengakses?,sia,ambiguous,bench_00461
Bagaimana mahasiswa Teknik Eletro mengaaktifkan akun SSO UMB?,sso,typo,bench_00487
Bagaimana mahasiswa,sso,incomplete,bench_00487
Bagaimana student Teknik Elektro mengaktifkan akun SSO UMB?,sso,mixed_lang,bench_00487
Bagaimana mahasiswa mengaktifkan akun?,sso,ambiguous,bench_00487
Apa layanan konseeling mahasiswa yaang tersedia di UMB?,student_services,typo,bench_00374
Apa layanan konseling mahasiswa yang tersedia,student_services,incomplete,bench_00374
what layanan konseling student yang tersedia di UMB?,student_services,mixed_lang,bench_00374
Apa layanan konseling mahasiswa yang tersedia di?,student_services,ambiguous,bench_00374
Siiapa ketua program studi Hubungan Masyarakat Universitas Meercu Buana?,study_program,typo,bench_00223
Siapa ketua,study_program,incomplete,bench_00223
who ketua program studi Hubungan Masyarakat Universitas Mercu Buana?,study_program,mixed_lang,bench_00223
Siapa ketua program studi?,study_program,ambiguous,bench_00223
Berapa biaya kluiah program stdui Penyiaran di UMB?,tuition,typo,bench_00059
Berapa biaya kuliah,tuition,incomplete,bench_00059
Berapa cost kuliah program studi Penyiaran di UMB?,tuition,mixed_lang,bench_00059
Berapa biaya kuliah program studi di?,tuition,ambiguous,bench_00059
Kapan jadwal perkuliahan untuk mahasiswwa Akuntansi dimuali?,academic_calendar,typo,bench_00321
Kapan jadwal perkuliahan untuk mahasiswa,academic_calendar,incomplete,bench_00321
Kapan jadwal perkuliahan untuk student Akuntansi dimulai?,academic_calendar,mixed_lang,bench_00321
Kapan jadwal perkuliahan untuk mahasiswa dimulai?,academic_calendar,ambiguous,bench_00321
Apa peraturan akademik yanng berlaku untuk program sudi Teknik Mesin?,academic_regulations,typo,bench_00361
Apa peraturan akademik yang,academic_regulations,incomplete,bench_00361
what peraturan akademik yang berlaku untuk program studi Teknik Mesin?,academic_regulations,mixed_lang,bench_00361
Apa peraturan akademik yang berlaku untuk program studi?,academic_regulations,ambiguous,bench_00361
erapa adya tampung program studi Psikologi di UMB?,admissions,typo,bench_00040
Berapa daya tampung program studi Psikologi,admissions,incomplete,bench_00040
how much daya tampung program studi Psikologi di UMB?,admissions,mixed_lang,bench_00040
Berapa daya tampung program studi di?,admissions,ambiguous,bench_00040
Di kampus mana program studi Desain Komunikasi Visaul diselengarakan?,campus,typo,bench_00420
Di kampus mana,campus,incomplete,bench_00420
Di kampus mana program studi diselenggarakan?,campus,ambiguous,bench_00420
Fakutas lImu Komunikasi?,faculty,typo,bench_00160
Fakultas Ilmu,faculty,incomplete,bench_00160
faculty Ilmu Komunikasi?,faculty,mixed_lang,bench_00160
Fakultas?,faculty,ambiguous,bench_00160
apan pegisian krs umb,general,typo,faq_010_alias_04
kapan pengisian krs,general,incomplete,faq_010_alias_04
when pengisian krs umb,general,mixed_lang,faq_010_alias_04
